shirt_name,business_name,business_type,town,state,price_usd,price_max_usd,sold_on_shirtmap,listing_url,updated
GABC Logo Tee,The Great Alaskan Bowl Company,Retail,Fairbanks,AK,35.00,,false,https://shirtmap.com/shirts/gabc-logo-tee,2026-07-27
Alaska Robotics Logo - Adult T-Shirt,Alaska Robotics,Retail,Juneau,AK,25.00,,false,https://shirtmap.com/shirts/alaska-robotics-logo-adult-t-shirt,2026-07-27
I AM Smiling - Adult Sized Tee (Black),Alaska Raptor Center,Tourism / Local Attraction,Sitka,AK,25.00,,false,https://shirtmap.com/shirts/i-am-smiling-adult-sized-tee-black,2026-08-03
Good Days Shirt,Seeds Coffee Co,Coffee Shop,Birmingham,AL,32.00,,false,https://shirtmap.com/shirts/good-days-shirt,2026-08-03
Good People Logo T-Shirt,Good People Brewing Company,Brewery / Bar,Birmingham,AL,25.00,,false,https://shirtmap.com/shirts/good-people-logo-t-shirt,2026-08-17
Pelican Sunset Short Sleeve,The Fairhope Store,Retail,Fairhope,AL,30.00,,false,https://shirtmap.com/shirts/pelican-sunset-short-sleeve,2026-08-03
Snail Storefront Shirt,The Snail on the Wall,Retail,Huntsville,AL,25.00,,false,https://shirtmap.com/shirts/snail-storefront-shirt,2026-08-03
Dreamland Slogan T-Shirt,Dreamland BBQ,Restaurant / Food & Drink,Tuscaloosa,Alabama,29.99,,false,https://shirtmap.com/shirts/retro-bad-to-the-bone-t-shirt,2026-06-19
North Pole Coffee College Tee,North Pole Coffee Roasting Company,Coffee Shop,Fairbanks,Alaska,26.00,,false,https://shirtmap.com/shirts/north-pole-coffee-college-tee,2026-06-19
Gar Hole Records Logo T-Shirt,Gar Hole Records,Retail,Fayetteville,AR,25.00,,false,https://shirtmap.com/shirts/gar-hole-records-logo-t-shirt,2026-07-27
LOST T-Shirt,Lost Forty Brewing,Brewery / Bar,Little Rock,AR,30.00,,false,https://shirtmap.com/shirts/lost-t-shirt,2026-08-17
Just Doyenne It Classic Tee (Heather Grey),Onyx Coffee Lab,Coffee Shop,Rogers,AR,25.00,,false,https://shirtmap.com/shirts/just-doyenne-it-classic-tee-heather-grey,2026-07-27
State 48 Skull Tee,Four Peaks Brewing,Brewery / Bar,Tempe,Arizona,32.00,,false,https://shirtmap.com/shirts/state-48-skull-tee,2026-06-19
SanTan Spirits T-Shirt,SanTan Brewing Company,Brewery / Bar,Chandler,AZ,22.00,,false,https://shirtmap.com/shirts/santan-spirits-t-shirt,2026-08-17
Flagstaff Climbing Unisex Jersey Tee - Limestone,Flagstaff Climbing,Gym / Fitness,Flagstaff,AZ,29.99,,false,https://shirtmap.com/shirts/flagstaff-climbing-unisex-jersey-tee-limestone,2026-07-27
Unisex Athletic Tee,Mother Road Brewing Company,Brewery / Bar,Flagstaff,AZ,30.00,,false,https://shirtmap.com/shirts/unisex-athletic-tee,2026-08-17
Cactus Metal Tee,Arizona Wilderness Brewing Co.,Brewery / Bar,Gilbert,AZ,25.00,,false,https://shirtmap.com/shirts/cactus-metal-tee,2026-08-17
